엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
고객사,기업,생산하는 제품,제품,품목,제품명:A사 아몬드 브리즈;제품종류:식물성 단백질 음료;용량:1L;포장:테트라팩;인증:FSSC 22000 HACCP 한국 비건;가격범위:20-30위안;원산지:캘리포니아산;특징:저칼로리;시기:2024년
제품,품목,포장,포장형태,포장,포장형태,테트라팩
제품,품목,인증,인증,인증,인증,FSSC 22000 HACCP 한국 비건
제품,품목,원산지,원산지,원산지,원산지,캘리포니아산;중국;태국;인도네시아
제품,품목,가격,가격,가격,가격,20-30위안
제품,품목,용량,용량,용량,용량,1L
제품,품목,특징,특징,특징,특징,저칼로리;트랜스지방무첨가;콜레스테롤무첨가
경쟁제품,품목,판매처,판매처,판매처,판매처,우마트;허마셩;올레;세븐일레븐;징동;타오바오;수닝
경쟁제품,품목,원산지,원산지,원산지,원산지,중국;태국;인도네시아
경쟁제품,품목,가격,가격,가격,가격,100ml당 2~3위안
경쟁제품,품목,포장,포장,포장,포장,테트라팩 또는 플라스틱 병
경쟁제품,품목,유통기한,유통기한,유통기한,유통기한,1개월~12개월
경쟁제품,품목,맛,맛,맛,맛,아몬드;검은콩;오트밀;코코넛;초코;두유
경쟁기업,기업,설립연도,설립연도,설립연도,설립연도,1994년(오틀리);2020년(오트사이드);1950년(락타소이)
경쟁기업,기업,국적,국적,국적,국적,스웨덴;싱가포르;태국
경쟁기업,기업,업력,업력,업력,업력,30년(오틀리);4년(오트사이드);74년(락타소이)
경쟁기업,기업,인증,인증,인증,인증,ISO 22000;FSSC 22000;HACCP;한국비건
경쟁기업,기업,유통채널,유통채널,유통채널,유통채널,오프라인(우마트,허마셩,올레);온라인(징동,타오바오,수닝)
경쟁기업,기업,마케팅전략,전략,전략,전략,환경캠페인;브랜드 협업;소셜미디어활용;포장디자인
경쟁기업,기업,포장현지화,포장현지화,포장현지화,포장현지화,포장디자인문구현지화;포장방식현지화
고객사,기업,시장최적가격,가격,가격,가격,약 20-25위안(중위값)
고객사,기업,경쟁제품가격대,가격대,가격대,가격대,15~18위안(경쟁제품 평균)
고객사,기업,유통고려사항,고려사항,고려사항,고려사항,가격;유통기한;맛;브랜드신뢰도
고객사,기업,마케팅포인트,포인트,포인트,포인트,한국산 강조;저칼로리;비건인증;브랜드신뢰
시장,지역,인구수,인구수,인구수,인구수,약 2154만명
시장,지역,면적,면적,면적,면적,16411km²
시장,지역,인구밀도,인구밀도,인구밀도,인구밀도,1312명/km²
경쟁제품,품목,리뷰긍정점수,리뷰점수,리뷰점수,리뷰점수,맛:137점;선호도:150점
경쟁제품,품목,리뷰부정점수,리뷰점수,리뷰점수,리뷰점수,11점
리뷰,키워드,아몬드,아몬드,아몬드,아몬드,가족;대용량;브랜드신뢰
리뷰,키워드,맛,맛,맛,맛,긍정적;높은만족도
리뷰,키워드,배송,배송,배송,배송,빠른배송
