엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
러시아,국가,내부시장,러시아 식품시장,시장,시기:2024년
러시아,국가,내부시장,러시아 농업생산량,농업생산,시기:2024년 4월;증감률:1.4%
러시아,국가,내부시장,러시아 농업생산지수,농업생산지수,시기:2024년 4월;수치:101.4%
러시아,국가,내부시장,러시아 농작물 파종면적,농경지,시기:2024년 5월 1일;면적:80180만헥타르;감소:1.2%
러시아,국가,내부시장,러시아 인구,인구,수치:1억4615만명;감소:0.2%
러시아,국가,내부시장,러시아 GDP,경제지표,시기:2023년;수치:2조2021억달러
러시아,국가,내부시장,러시아 농업,농업,시기:2024년 4월;생산량:4817억루블
러시아,국가,내부시장,러시아 농업생산지수,농업생산지수,시기:2024년 4월;수치:101.4%
러시아,국가,내부시장,러시아 가축수,가축,수치:1740만마리;감소:2.8%
러시아,국가,내부시장,러시아 농가 도축가축,가축,수치:520만톤;증가:5.5%
러시아,국가,내부시장,러시아 우유생산량,유제품,수치:1030만톤;증가:3.3%
러시아,국가,내부시장,러시아 계란생산량,계란,수치:147억개;감소:3.1%
러시아,국가,내부시장,러시아 농업부,기관,기능:수입대체화 정책 추진
러시아,국가,내부시장,러시아 연방정부령,법령,번호:717호;내용:농업발전 및 식품시장 규제
러시아,국가,내부시장,러시아 연방정부령,법령,번호:2240호;내용:대러 제재 대응 관세 부과
러시아,국가,내부시장,러시아 연방정부령,법령,번호:727330-8호;내용:무알콜 음료 소비세 확대
러시아,국가,내부시장,러시아 연방정부,기관,기능:관세율 인상;최대50%
러시아,국가,내부시장,러시아 연방통계청,기관,기능:수입대체식품 생산량·지수 공개
러시아,국가,내부시장,러시아 연방산업통상부,기관,기능:품질인증·수입대체화 지원
러시아,국가,내부시장,러시아 연방지식재산서비스,기관,기능:상표등록·분쟁처리
러시아,국가,내부시장,러시아 연방행정부,기관,기능:관세율 인상·규제 정책
러시아,국가,내부시장,러시아 농업부,기관,기능:수입대체화 정책·지원책
러시아,국가,내부시장,러시아 농업부,기관,기능:기술 주권 확보·산업 고도화
러시아,국가,내부시장,러시아 농업부,기관,기능:종자·농약 국산화 목표
러시아,국가,내부시장,러시아 농업부,기관,기능:농업생산지수·수출액 목표
러시아,국가,내부시장,러시아 농업부,기관,기능:중소기업 지원·투자 확대
러시아,국가,내부시장,러시아 농업부,기관,기능:농업생산·기술 투자 정책
러시아,국가,내부시장,러시아 농업부,기관,기능:농업생산지수·수출액 목표
러시아,국가,내부시장,러시아 농업부,기관,기능:농업·축산 생산량 증대
러시아,국가,내부시장,러시아 농업부,기관,기능:수입대체화 정책 연장·개선
러시아,국가,내부시장,러시아 농업부,기관,기능:기술 주권·산업 고도화 추진
러시아,국가,내부시장,러시아 연방정부,기관,기능:관세 부과 법적 근거 마련
러시아,국가,내부시장,러시아 연방정부,기관,기능:관세율 인상·적용 품목 확대
러시아,국가,내부시장,러시아 연방정부,기관,기능:수입대체화 정책·지원책
러시아,국가,내부시장,러시아 기업,기업,기능:시장 점유율 확대·투자
러시아,국가,내부시장,러시아 기업,기업,기능:대체브랜드·PB 상품 시장 확대
러시아,국가,내부시장,러시아 기업,기업,기능:고품질 프리미엄 제품 개발
러시아,국가,내부시장,러시아 기업,기업,기능:수출 전략·시장 확대
러시아,국가,내부시장,러시아 기업,기업,기능:시장 경쟁력 확보
러시아,국가,내부시장,러시아 기업,기업,기능:현지 생산·기술 투자
러시아,국가,내부시장,러시아 기업,기업,기능:시장 점유율·경쟁력 강화
러시아,국가,내부시장,러시아 기업,기업,기능:고품질 프리미엄 제품 수출
러시아,국가,내부시장,러시아 기업,기업,기능:시장 진입·경쟁력 확보
러시아,국가,내부시장,러시아 기업,기업,기능:시장 경쟁력·수출 확대
러시아,국가,내부시장,러시아 기업,기업,기능:시장 점유율·경쟁력 강화
러시아,국가,내부시장,러시아 기업,기업,관계:수입대체화 정책·시장 확대
러시아,국가,내부시장,러시아 기업,기업,관계:기술 주권·산업 고도화
러시아,국가,내부시장,러시아 기업,기업,관계:시장 점유율·경쟁력 확보
러시아,국가,내부시장,러시아 기업,기업,관계:시장 경쟁력·수출 확대
러시아,국가,내부시장,러시아 기업,기업,관계:시장 점유율·경쟁력 강화
러시아,국가,내부시장,러시아 기업,기업,관계:시장 경쟁력·수출 확대
러시아,국가,내부시장,러시아 기업,기업,관계:시장 점유율·경쟁력 확보
러시아,국가,내부시장,러시아 기업,기업,관계:시장 경쟁력·수출 확대
러시아,국가,내부시장,러시아 기업,기업,관계:시장 점유율·경쟁력 강화
러시아,국가,내부시장,러시아 기업,기업,관계:시장 경쟁력·수출 확대
러시아,국가,내부시장,러시아 기업,기업,관계:시장 점유율·경쟁력 확보
러시아,국가,내부시장,러시아 기업,기업,관계:시장 경쟁력·수출 확대
